=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.09.22 23:26:36 =~=~=~=~=~=~=~=~=~=~=~=
I (11049) RevK: Up 11, Link down 0
I (12049) RevK: Up 12, Link down 0
I (13049) RevK: Up 13, Link down 0
I (14049) RevK: Up 14, Link down 0
I (15049) RevK: Up 15, Link down 0
I (16049) RevK: Up 16, Link down 0
I (17049) RevK: Up 17, Link down 0
I (18049) RevK: Up 18, Link down 0
I (19051) RevK: Up 19, Link down 0
I (20049) RevK: Up 20, Link down 0
I (21049) RevK: Up 21, Link down 0
I (22049) RevK: Up 22, Link down 0
I (23049) RevK: Up 23, Link down 0
I (24049) RevK: Up 24, Link down 0
I (25049) RevK: Up 25, Link down 0
I (26050) RevK: Up 26, Link down 0
I (27049) RevK: Up 27, Link down 0
I (28049) RevK: Up 28, Link down 0
I (29049) RevK: Up 29, Link down 0
I (30049) RevK: Up 30, Link down 0
I (31049) RevK: Up 31, Link down 0
I (32049) RevK: Up 32, Link down 0
